# name    zcmb        zhel        dz         mb           dmb         s           ds          color       dcolor    cov_m_s     cov_m_c    cov_s_c
03D4ag    0.285000    0.285000    0.001000   21.236670    0.004890    1.058520    0.005300   -0.061380    0.003670   0.000020  -0.000000   0.000000
03D4at    0.633000    0.633000    0.001000   23.746240    0.020050    0.989470    0.028610   -0.060060    0.029990   0.000200  -0.000150   0.000330
03D4cn    0.818000    0.818000    0.001000   24.651750    0.051390    0.742950    0.059330    0.023140    0.157540   0.000550  -0.005800  -0.000140
03D4cx    0.949000    0.949000    0.001000   24.504260    0.082900    0.882210    0.019350    0.080120    0.123560   0.000110  -0.009160   0.000110
03D4cy    0.927100    0.927100    0.001000   24.718010    0.109190    1.031110    0.052370   -0.305160    0.174480   0.000790  -0.017150   0.001140
03D4cz    0.695000    0.695000    0.001000   24.019020    0.036090    0.729160    0.024340   -0.069150    0.043050   0.000590  -0.000040   0.000360
03D4dh    0.626800    0.626800    0.001000   23.388670    0.011240    1.061160    0.012780    0.028040    0.015640   0.000050  -0.000060   0.000050
03D4di    0.905000    0.905000    0.001000   24.287740    0.067920    1.103320    0.041330    0.029020    0.119810   0.000600  -0.007050   0.000270
03D4dy    0.604000    0.604000    0.001000   23.313240    0.009660    1.056060    0.001430    0.122180    0.014990   0.000000  -0.000050   0.000000
03D4fd    0.791000    0.791000    0.001000   24.212440    0.025220    0.919030    0.033460    0.028030    0.043790   0.000010  -0.000530   0.000810
03D4gf    0.581000    0.581000    0.001000   23.351380    0.013260    1.008760    0.026420   -0.056140    0.024330   0.000110  -0.000080   0.000350
03D4gg    0.592000    0.592000    0.001000   23.402520    0.023870    0.966170    0.048850    0.062190    0.035250   0.000380  -0.000340   0.000700
03D4gl    0.571000    0.571000    0.001000   23.269290    0.025960    0.956670    0.033070    0.029710    0.027550   0.000680   0.000120   0.000390
04D1ag    0.557000    0.557000    0.001000   23.002890    0.010890    0.944080    0.013260   -0.181570    0.016740   0.000100   0.000020   0.000130
04D1aj    0.721000    0.721000    0.001000   23.900880    0.029810    1.074070    0.067240    0.072130    0.038330   0.001180  -0.000020   0.001550
04D1ak    0.526000    0.526000    0.001000   23.631270    0.027810    0.824240    0.021060    0.017820    0.033370   0.000470   0.000440   0.000330
04D2cf    0.369000    0.369000    0.001000   22.339900    0.007290    0.895010    0.003380    0.001870    0.010280   0.000000   0.000030   0.000000
04D2fp    0.415000    0.415000    0.001000   22.528390    0.010120    0.964250    0.009770    0.006350    0.014960   0.000050   0.000090   0.000020
04D2fs    0.357000    0.357000    0.001000   22.422150    0.008280    0.942050    0.008600    0.128150    0.007720   0.000040   0.000030   0.000030
04D2gb    0.430000    0.430000    0.001000   22.795820    0.017910    0.776940    0.012980   -0.007650    0.025130   0.000100   0.000290   0.000050
04D2gc    0.521000    0.521000    0.001000   23.320990    0.014370    1.065500    0.023800    0.184730    0.021950   0.000180   0.000060   0.000030
04D2gp    0.707000    0.707000    0.001000   24.150770    0.047310    0.800510    0.001710   -0.052160    0.059540   0.000000  -0.001790   0.000000
04D2iu    0.691000    0.691000    0.001000   24.257910    0.048030    0.799500    0.035060    0.074260    0.055930   0.000820  -0.001240   0.000150
04D2ja    0.741000    0.741000    0.001000   24.097800    0.044770    0.945440    0.036140   -0.066500    0.042980   0.000830  -0.000960   0.000310
04D3co    0.620000    0.620000    0.001000   23.781400    0.022250    0.894760    0.017130   -0.064360    0.030320   0.000220  -0.000030   0.000130
