# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Ab         dAb  cov_m_del   cov_m_Ab  cov_delta
1997Y       0.016600    0.016600    0.000000   34.790001    0.230000    0.000000    0.000000    0.250000    0.000000   0.000000   0.000000   0.000000
1997ai      0.450000    0.450000    0.000000   42.099998    0.230000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997ac      0.320000    0.320000    0.000000   41.450001    0.180000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997aj      0.581000    0.581000    0.000000   42.630001    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997aw      0.440000    0.440000    0.000000   43.369999    0.400000    0.000000    0.000000    0.800000    0.000000   0.000000   0.000000   0.000000
1997as      0.508000    0.508000    0.000000   42.489998    0.350000    0.000000    0.000000    0.850000    0.000000   0.000000   0.000000   0.000000
1997am      0.416000    0.416000    0.000000   42.099998    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997ap      0.830000    0.830000    0.000000   43.849998    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997af      0.579000    0.579000    0.000000   42.860001    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997bh      0.420000    0.420000    0.000000   42.359997    0.230000    0.000000    0.000000    0.600000    0.000000   0.000000   0.000000   0.000000
1997bb      0.518000    0.518000    0.000000   42.940002    0.300000    0.000000    0.000000    0.110000    0.000000   0.000000   0.000000   0.000000
1997bj      0.334000    0.334000    0.000000   41.259998    0.300000    0.000000    0.000000    0.340000    0.000000   0.000000   0.000000   0.000000
1997ck      0.970000    0.970000    0.000000   44.299999    0.380000    0.000000    0.000000    0.170000    0.000000   0.000000   0.000000   0.000000
1997cn      0.017500    0.017500    0.000000   34.529999    0.250000    0.000000    0.000000    0.010000    0.000000   0.000000   0.000000   0.000000
1997cj      0.500000    0.500000    0.000000   42.890003    0.200000    0.000000    0.000000    0.150000    0.000000   0.000000   0.000000   0.000000
1997ce      0.440000    0.440000    0.000000   42.160004    0.190000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
