# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Av         dAv  cov_m_del   cov_m_Av  cov_delta_Av
sn96T       0.241000    0.241000    0.000000   24.705000    0.560000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96U       0.430000    0.430000    0.000000   26.506130    0.270000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
sn96V       0.025000    0.025000    0.000000   19.355000    0.285000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96X       0.007800    0.007800    0.000000   16.435806    0.120000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
sn96Z       0.008700    0.008700    0.000000   17.662420    0.180000    0.000000    0.000000    0.550000    0.000000   0.000000   0.000000   0.000000
sn96ab      0.124000    0.124000    0.000000   23.171129    0.160000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
sn96af      0.100000    0.100000    0.000000   22.139999    0.200000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96ag      0.140000    0.140000    0.000000   23.400000    0.225000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96ai      0.004100    0.004100    0.000000   20.941130    0.605000    0.000000    0.000000    4.080000    0.000000   0.000000   0.000000   0.000000
sn96am      0.065000    0.065000    0.000000   22.203224    0.215000    0.000000    0.000000    0.320000    0.000000   0.000000   0.000000   0.000000
sn96ao      0.058000    0.058000    0.000000   21.887741    0.335000    0.000000    0.000000    0.520000    0.000000   0.000000   0.000000   0.000000
sn96bk      0.007200    0.007200    0.000000   17.561291    0.205000    0.000000    0.000000    0.810000    0.000000   0.000000   0.000000   0.000000
sn96bl      0.034800    0.034800    0.000000   20.535324    0.155000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
sn96bo      0.016500    0.016500    0.000000   19.402420    0.160000    0.000000    0.000000    0.860000    0.000000   0.000000   0.000000   0.000000
sn96bv      0.016700    0.016700    0.000000   19.280485    0.180000    0.000000    0.000000    0.730000    0.000000   0.000000   0.000000   0.000000
sn96bx      0.058000    0.058000    0.000000   21.756130    0.650000    0.000000    0.000000    0.360000    0.000000   0.000000   0.000000   0.000000
sn96cf      0.570000    0.570000    0.000000   26.665001    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96cg      0.490000    0.490000    0.000000   26.494999    0.285000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96ci      0.495000    0.495000    0.000000   26.224998    0.280000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96ck      0.656000    0.656000    0.000000   26.965000    0.340000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96cl      0.827000    0.827000    0.000000   28.045002    0.540000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96cm      0.450000    0.450000    0.000000   26.565001    0.305000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn96cn      0.430000    0.430000    0.000000   26.525000    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97E       0.013200    0.013200    0.000000   18.503550    0.120000    0.000000    0.000000    0.290000    0.000000   0.000000   0.000000   0.000000
sn97F       0.580000    0.580000    0.000000   26.855000    0.305000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97G       0.762000    0.762000    0.000000   27.865000    0.535000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97H       0.526000    0.526000    0.000000   26.545000    0.285000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97I       0.172000    0.172000    0.000000   23.564999    0.275000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97J       0.619000    0.619000    0.000000   27.195000    0.340000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97K       0.592000    0.592000    0.000000   27.815001    0.405000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97L       0.550000    0.550000    0.000000   26.905001    0.320000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97N       0.180000    0.180000    0.000000   23.824999    0.270000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
